km4week,miles4weeks,sp4week,speed4week,xtrain,CrossTraining,Wall21,time,CATEGORY,,
132.8,82.5180688,14.43478261,8.969355305,0,,1.16,2.37,A,,
68.6,42.6260506,13.6744186,8.49688716,0,,1.23,2.59,A,,
82.7,51.3873817,13.52043597,8.401206819,0,,1.3,2.66,A,,
137.5,85.4385125,12.25854383,7.617103638,0,,1.32,2.68,A,,
84.6,52.5679866,13.94505495,8.665052739,0,,1.36,2.74,A,,
42.2,26.2218562,13.61290323,8.458663293,0,,1.32,2.78,A,,
89,55.302019,12.59433962,7.825757404,0,,1.38,2.81,A,,
106,65.865326,12.69461078,7.888062995,0,,1.41,2.84,A,,
70,43.49597,13.7704918,8.55658426,1,ciclista 1h,1.38,2.83,A,,
84.2,52.3194382,13.36507937,8.304672733,0,,1.35,2.86,A,,
93.5,58.0981885,13.2,8.2020972,0,,1.42,2.87,A,,
65.7,40.8240747,13.36271186,8.303201631,0,,1.4,2.87,A,,
53.5,33.2433485,14.07894737,8.748249606,1,ciclista 4h,1.37,2.88,A,,
84.4,52.4437124,13.83606557,8.597329899,0,,1.41,2.88,A,,
76.8,47.7212928,12.94382022,8.042914514,0,,1.44,2.89,A,,
76.1,47.2863331,14.9704918,9.30222946,0,,1.45,2.9,A,,
112.3,69.7799633,12.59439252,7.825790275,1,ciclista 13h,1.44,2.91,A,,
49.7,30.8821387,14.33653846,8.908309239,0,,1.44,2.91,A,,
84.5,52.5058495,12.54950495,7.79789844,0,,1.45,2.93,A,,
76.7,47.6591557,8.031413613,4.990487508,0,,1.41,2.94,A,,
94.5,58.7195595,11.88679245,7.386108111,0,,1.45,2.99,A,,
67.3,41.8182683,13.23934426,8.226544582,0,,1.5,3.04,B,,
59.4,36.9094374,12.63829787,7.853071786,0,,1.5,3.05,B,,
66.1,41.0726231,12.12844037,7.536261121,0,,1.48,3.09,B,,
67.4,41.8804054,12.87898089,8.002625235,0,,1.52,3.1,B,,
23.8,14.7886298,13.47169811,8.370922526,1,ciclista 5h, -   ,3.11,B,,
129.6,80.5296816,12.18808777,7.573324286,0,,1.54,3.12,B,,
82.4,51.2009704,11.77142857,7.314424342,0,,1.52,3.14,B,,
51.6,32.0627436,13.00840336,8.083044604,0,,1.5,3.15,B,,
104.9,65.1818179,11.72067039,7.282884681,0,,1.57,3.16,B,,
52.5,32.6219775,12.5498008,7.798082273,1,ciclista 3h,1.62,3.19,B,,
79.4,49.3368574,13.34453782,8.29190881,0,,1.6,3.19,B,,
65.6,40.7619376,11.89123867,7.388870864,0,,1.51,3.21,B,,
112.4,69.8421004,12.28415301,7.63301644,0,,1.58,3.21,B,,
112.2,69.7178262,11.27638191,7.006816704,0,, -   ,3.22,B,,
50.1,31.1306871,11.88142292,7.382771641,0,,1.62,3.22,B,,
50.1,31.1306871,12.17004049,7.562110229,0,,1.56,3.23,B,,
52.1,32.3734291,12.16342412,7.557999009,0,,1.61,3.24,B,,
64.7,40.2027037,13.29452055,8.260829529,0,,1.5,3.24,B,,
69.2,42.9988732,10.05326877,6.246809669,0,,1.6,3.25,B,,
61.3,38.0900423,12.38383838,7.694958038,0,,1.59,3.28,B,,
58.8,36.5366148,12.82909091,7.971625048,0,,1.68,3.28,B,,
82.7,51.3873817,11.64788732,7.237659392,0,,1.78,3.32,B,,
